customer_id,revenue,orders,units_purchased,first_purchase,latest_purchase
16013,57140.44,84,25880,2009-12-08 10:24:00,2011-12-06 10:36:00
17850,56600.08,155,22785,2009-12-05 12:28:00,2010-12-02 15:27:00
13777,56478.42,61,26742,2009-12-02 09:47:00,2011-12-09 12:25:00
12748,55511.09,336,38396,2009-12-04 17:31:00,2011-12-09 12:20:00
13093,54943.65,55,26227,2009-12-04 10:32:00,2011-03-09 12:14:00
13408,51733.46,106,29499,2009-12-04 09:31:00,2011-12-08 09:05:00
17404,47781.12,23,50679,2010-01-07 11:31:00,2011-12-05 16:26:00
13881,45179.1,43,29760,2010-03-04 14:41:00,2011-12-06 12:50:00
15749,44534.3,3,18028,2011-01-11 12:55:00,2011-04-18 13:20:00
16705,43515.05,42,22302,2009-12-09 13:34:00,2011-12-09 12:08:00
14031,40919.58,44,14468,2009-12-03 15:35:00,2011-12-02 17:13:00
17381,40002.37,38,45767,2010-06-09 12:55:00,2011-12-01 11:59:00
12471,39918.19,79,16858,2009-12-07 10:41:00,2011-12-07 15:43:00
15098,39916.5,3,121,2011-06-10 15:22:00,2011-06-10 15:33:00
15039,39726.89,93,18036,2009-12-10 11:39:00,2011-11-30 11:31:00
16210,38489.51,35,14263,2009-12-02 12:54:00,2011-12-08 12:36:00
17675,38259.6,70,16416,2009-12-10 16:10:00,2011-12-08 18:03:00
17677,36675.06,54,21933,2009-12-16 11:23:00,2011-12-08 09:56:00
12921,35921.04,74,21708,2009-12-01 13:43:00,2011-11-30 16:22:00
13767,35540.53,73,15235,2009-12-01 10:52:00,2011-12-07 15:00:00
12678,34281.18,21,22372,2010-01-07 16:46:00,2011-10-28 13:04:00
13902,34095.26,5,220600,2009-12-15 10:02:00,2010-03-17 13:09:00
15856,33847.27,52,20225,2009-12-03 14:02:00,2011-12-05 17:09:00
16779,33165.94,53,19544,2009-12-03 13:03:00,2011-12-07 14:54:00
14258,32051.34,25,17488,2009-12-04 08:36:00,2011-11-30 15:27:00
17428,31819.76,45,17504,2009-12-01 17:28:00,2011-12-09 09:45:00
12681,30868.28,45,17596,2009-12-13 13:31:00,2011-11-25 11:33:00
12709,30814.46,34,13911,2009-12-09 13:49:00,2011-11-24 15:38:00
14606,30558.25,192,15474,2009-12-03 12:40:00,2011-12-08 19:28:00
17940,30306.79,16,85148,2009-12-03 12:31:00,2011-10-21 13:27:00
13078,29532.45,57,12183,2009-12-01 09:06:00,2011-12-06 15:36:00
13098,28882.44,28,15968,2011-01-26 13:46:00,2011-12-08 14:14:00
17857,28682.24,24,22060,2010-03-08 12:09:00,2011-12-05 13:13:00
14527,27764.21,122,6755,2009-12-02 12:06:00,2011-12-07 12:19:00
15513,27750.55,35,10831,2010-01-13 14:59:00,2011-11-06 14:36:00
16333,26626.8,22,32184,2011-02-03 10:50:00,2011-12-02 12:19:00
17865,26312.19,46,12950,2009-12-01 10:49:00,2011-11-09 12:08:00
18251,26278.86,9,39639,2009-12-22 12:01:00,2011-09-13 15:03:00
13802,26259.11,19,14129,2010-02-16 10:11:00,2011-07-24 10:54:00
15498,25949.58,44,12598,2009-12-16 17:27:00,2011-12-07 12:48:00
12731,25775.71,17,11641,2010-03-02 09:23:00,2011-11-16 11:59:00
14062,25585.65,24,12794,2009-12-10 14:28:00,2011-11-30 10:04:00
12744,25317.06,11,6994,2010-04-27 16:19:00,2011-10-19 11:18:00
12939,25264.8,20,10328,2010-01-12 11:27:00,2011-10-06 14:33:00
14895,25119.54,38,10714,2009-12-10 14:22:00,2011-12-02 09:23:00
12621,24775.81,35,13933,2010-02-09 12:01:00,2011-12-08 11:25:00
16525,24562.74,48,14628,2009-12-02 13:53:00,2011-12-07 15:07:00
17920,24256.74,54,12544,2009-12-06 10:37:00,2011-12-05 14:29:00
13001,24042.65,33,13448,2009-12-03 16:21:00,2011-12-05 14:51:00
12682,24025.51,52,10998,2009-12-01 09:28:00,2011-12-06 10:00:00
15640,23828.03,29,12320,2009-12-14 16:36:00,2011-12-05 14:35:00
14607,23763.13,22,15335,2009-12-15 11:25:00,2011-11-24 10:35:00
12482,23691.4,29,27042,2010-02-24 10:24:00,2010-05-12 16:51:00
12409,23419.29,7,13143,2010-05-23 15:21:00,2011-09-22 10:38:00
16133,22992.26,56,13653,2010-03-31 12:21:00,2011-12-06 11:24:00
14063,22710.2,9,3850,2009-12-08 13:46:00,2010-09-27 16:18:00
14051,22394.4,37,5923,2009-12-03 11:53:00,2011-12-09 10:20:00
16839,22310.49,44,11527,2010-02-11 15:02:00,2011-12-01 09:03:00
17340,22289.22,18,11162,2010-02-14 14:54:00,2011-11-10 10:45:00
12540,22254.49,33,11019,2009-12-07 16:56:00,2011-11-20 11:31:00
15159,22116.73,34,13512,2010-10-04 09:31:00,2011-12-08 12:05:00
13340,22100.56,12,9636,2010-02-22 14:54:00,2011-10-25 13:15:00
13319,22082.5,58,9270,2009-12-06 14:46:00,2011-12-04 13:34:00
14667,21593.05,54,12705,2009-12-02 12:38:00,2011-11-29 11:30:00
12753,21429.39,6,11421,2010-12-12 11:44:00,2011-11-17 10:52:00
15615,21373.97,47,12090,2009-12-02 15:28:00,2011-11-29 14:42:00
14866,20850.22,19,9233,2010-08-26 11:54:00,2011-11-29 11:45:00
17706,20749.98,31,8049,2010-01-19 12:13:00,2011-12-05 13:34:00
12433,20581.26,10,17116,2010-08-20 09:23:00,2011-12-09 10:02:00
17243,20460.48,69,8024,2009-12-01 15:36:00,2011-12-08 13:26:00
15251,20324.54,21,12108,2010-01-29 12:42:00,2011-11-30 15:02:00
12477,20276.37,9,6119,2010-03-26 14:01:00,2011-11-17 09:51:00
18008,19759.08,23,7825,2010-01-06 12:35:00,2011-09-30 15:17:00
16843,19571.43,35,18502,2009-12-10 11:40:00,2011-10-28 09:06:00
17139,19566.76,25,9853,2010-01-11 11:31:00,2011-11-24 10:12:00
17581,18737.95,43,9960,2009-12-03 12:34:00,2011-12-09 12:21:00
12557,18716.14,8,6782,2009-12-17 10:39:00,2011-11-23 16:59:00
14194,18670.59,36,10037,2010-01-06 12:16:00,2011-12-05 10:38:00
13113,18603.04,37,4540,2010-03-28 16:13:00,2011-12-09 12:49:00
12357,18287.66,3,6587,2010-11-16 10:05:00,2011-11-06 16:07:00
17377,18232.57,78,7524,2009-12-02 12:39:00,2011-11-16 11:17:00
15808,18133.3,21,7080,2009-12-01 16:30:00,2011-02-06 14:33:00
16746,18046.75,42,11900,2009-12-04 13:00:00,2011-12-05 12:33:00
12647,17924.35,36,6878,2010-01-13 15:06:00,2011-11-17 12:56:00
12472,17880.59,19,11350,2009-12-14 10:49:00,2011-11-07 14:01:00
15078,17761.88,53,8990,2009-12-04 12:03:00,2011-12-02 15:41:00
12901,17654.54,28,23075,2011-03-14 10:41:00,2011-12-01 10:07:00
14952,17629.35,32,6977,2009-12-03 15:34:00,2011-10-11 10:33:00
16652,17550.39,16,7477,2010-03-17 10:22:00,2011-10-12 09:38:00
15189,17524.38,46,6902,2010-07-18 13:37:00,2011-12-08 13:22:00
18172,17467.24,52,7407,2009-12-11 09:58:00,2011-11-25 11:12:00
16019,17329.16,27,6959,2009-12-14 14:12:00,2011-10-24 11:51:00
17416,17298.45,22,8769,2009-12-14 16:29:00,2011-11-10 12:47:00
15523,17259.19,16,15633,2009-12-02 15:16:00,2011-09-16 16:29:00
17735,17244.93,26,10901,2010-07-30 13:25:00,2011-12-07 16:47:00
13027,17239.2,19,42840,2010-01-20 10:41:00,2011-08-18 09:39:00
14277,17197.61,9,89806,2009-12-13 15:43:00,2011-11-24 15:01:00
15358,17050.41,42,15378,2009-12-07 12:19:00,2011-12-05 09:04:00
13564,17035.02,37,9133,2009-12-02 11:55:00,2011-07-18 14:33:00
15125,17024.87,24,8433,2010-03-31 13:29:00,2011-11-14 13:57:00
16656,16833.17,30,15433,2009-12-04 12:59:00,2011-11-17 14:43:00
12454,16679.78,5,7703,2010-10-14 17:33:00,2011-10-14 17:13:00
16553,16584.01,33,16427,2010-02-11 18:46:00,2011-06-29 15:42:00
13199,16432.89,67,12019,2009-12-05 10:11:00,2011-12-06 12:30:00
14961,16410.15,22,8372,2009-12-04 11:32:00,2011-11-29 09:42:00
13225,16260.07,16,7401,2009-12-17 09:09:00,2011-12-06 13:29:00
16180,16249.87,13,9813,2010-06-23 13:19:00,2011-08-31 16:28:00
12980,16245.78,21,1910,2009-12-02 11:26:00,2011-07-05 09:34:00
18092,16179.44,18,8830,2009-12-04 12:37:00,2011-12-07 13:14:00
14733,16165.17,15,6479,2010-11-02 15:42:00,2011-11-23 15:39:00
17107,16052.72,10,7530,2010-01-31 15:47:00,2011-11-06 14:14:00
15044,16024.15,35,5241,2009-12-16 15:13:00,2011-11-20 13:20:00
12971,15972.79,116,14587,2009-12-15 19:04:00,2011-12-06 12:20:00
17716,15956.97,24,8819,2009-12-02 17:18:00,2011-11-17 12:00:00
14849,15763.45,43,12026,2010-01-10 11:40:00,2011-11-18 10:58:00
16191,15677.82,24,9348,2009-12-11 12:24:00,2011-12-07 11:26:00
13488,15587.88,23,7891,2010-01-25 10:13:00,2011-11-22 14:41:00
12949,15526.7,22,8233,2009-12-03 15:56:00,2011-11-09 11:25:00
14769,15514.11,17,11058,2009-12-16 09:17:00,2011-12-07 10:24:00
15768,15308.89,34,4215,2009-12-03 12:10:00,2011-08-16 10:48:00
15601,14960.12,30,11061,2009-12-01 14:53:00,2011-11-28 15:15:00
18087,14761.52,17,7775,2009-12-01 09:43:00,2011-09-02 15:12:00
16126,14644.6,15,6140,2009-12-02 13:34:00,2011-11-10 16:03:00
17133,14622.33,12,10107,2010-03-21 12:31:00,2011-11-24 12:27:00
16873,14617.39,12,8601,2010-02-09 14:17:00,2011-12-05 12:05:00
14543,14587.87,39,2639,2009-12-01 13:47:00,2011-11-11 12:45:00
16713,14529.99,32,8671,2009-12-15 12:49:00,2011-11-21 12:36:00
17448,14523.67,46,11534,2010-03-04 17:29:00,2010-07-30 14:07:00
14299,14499.49,27,8228,2009-12-02 10:58:00,2011-12-01 16:05:00
12583,14447.44,27,8984,2009-12-06 11:57:00,2011-12-07 08:07:00
15482,14417.36,19,6516,2009-12-02 16:59:00,2011-11-24 10:46:00
15093,14326.11,23,11657,2009-12-08 12:46:00,2011-11-21 13:09:00
17017,14110.61,29,10591,2009-12-03 13:22:00,2011-12-07 09:32:00
13090,14100.14,24,3444,2010-08-02 13:58:00,2011-12-01 12:39:00
12714,14093.71,12,8774,2009-12-04 10:00:00,2011-11-30 15:43:00
12476,14083.91,23,5631,2010-07-26 09:04:00,2011-11-24 12:40:00
13178,14059.19,21,8778,2009-12-16 14:00:00,2011-11-13 16:14:00
18223,14000.85,26,6644,2009-12-04 12:20:00,2011-12-05 09:11:00
15005,13977.08,56,8784,2009-12-01 14:19:00,2011-11-24 12:25:00
15502,13933.27,14,5849,2010-06-03 11:12:00,2011-11-24 12:48:00
12435,13925.93,6,4958,2009-12-02 13:58:00,2011-09-21 09:06:00
15760,13916.34,2,2,2010-03-19 11:35:00,2010-03-19 11:45:00
16558,13873.51,38,8088,2009-12-03 18:11:00,2011-12-09 10:20:00
15291,13846.56,40,5017,2009-12-03 11:09:00,2011-11-14 11:02:00
17589,13837.94,18,8704,2010-03-07 13:48:00,2011-10-10 16:58:00
15032,13780.65,8,8259,2009-12-10 15:27:00,2011-03-28 15:03:00
15382,13733.55,12,9178,2009-12-04 14:13:00,2011-11-25 10:58:00
12567,13709.86,15,6086,2010-02-11 10:30:00,2011-11-17 11:02:00
12989,13551.75,33,6935,2009-12-10 13:27:00,2011-12-06 15:28:00
13468,13375.51,72,5812,2009-12-03 13:32:00,2011-12-08 10:39:00
15738,13372.97,41,9285,2009-12-10 15:52:00,2011-11-21 08:26:00
13629,13370.86,19,7722,2010-02-11 17:34:00,2011-11-16 13:21:00
13097,13324.1,28,5345,2009-12-01 13:31:00,2011-11-07 10:43:00
13969,13291.05,35,6773,2010-03-25 13:15:00,2011-12-02 15:11:00
16923,13157.13,32,6190,2010-01-31 11:14:00,2011-11-27 13:00:00
18225,13044.8,26,7298,2009-12-04 16:52:00,2011-12-06 13:27:00
14049,13023.4,13,8480,2010-04-01 14:52:00,2011-11-23 12:20:00
14110,12987.95,33,5825,2009-12-01 09:50:00,2011-12-06 12:26:00
13668,12948.48,35,6096,2009-12-11 14:28:00,2011-12-07 12:11:00
13316,12940.82,10,19931,2010-03-10 10:01:00,2011-11-02 13:40:00
13952,12823.52,14,5947,2009-12-16 09:41:00,2011-05-06 09:00:00
16549,12781.8,34,7087,2010-03-28 15:45:00,2011-11-29 15:06:00
17858,12754.9,30,5458,2009-12-06 15:41:00,2011-12-04 11:56:00
16161,12744.26,43,6343,2010-02-08 11:06:00,2011-12-08 12:10:00
12683,12696.78,21,7683,2009-12-13 15:01:00,2011-12-05 16:31:00
12437,12683.4,39,8000,2009-12-02 16:24:00,2011-12-08 11:35:00
12451,12669.88,8,9359,2010-06-28 12:58:00,2011-11-29 08:40:00
15465,12636.15,32,2763,2009-12-10 09:42:00,2011-11-20 10:11:00
13013,12625.77,29,6463,2009-12-14 10:34:00,2011-12-08 15:01:00
12536,12601.83,3,2803,2011-10-11 14:52:00,2011-10-27 14:20:00
14040,12523.81,35,4972,2009-12-01 12:14:00,2011-10-30 12:42:00
15194,12427.69,28,9169,2009-12-03 10:37:00,2011-12-06 15:10:00
14936,12410.81,12,6274,2010-05-05 12:26:00,2011-11-06 10:30:00
16000,12393.7,3,5110,2011-12-07 12:14:00,2011-12-07 12:17:00
12474,12372.75,31,7940,2010-02-11 09:41:00,2011-11-22 14:39:00
12481,12344.89,15,7243,2010-04-11 13:10:00,2011-11-17 08:29:00
13050,12314.53,35,7197,2009-12-15 15:06:00,2011-11-25 09:18:00
14739,12287.5,25,10172,2009-12-02 13:23:00,2011-12-05 16:54:00
13854,12253.96,39,3710,2010-01-08 11:28:00,2011-12-01 09:06:00
14735,12240.16,56,4513,2009-12-04 11:32:00,2011-12-06 12:09:00
16814,12198.14,36,4951,2010-04-11 12:45:00,2011-11-25 13:27:00
13418,12182.9,31,7588,2009-12-11 12:51:00,2011-11-28 10:23:00
15144,12160.31,29,5251,2009-12-13 11:35:00,2011-12-01 15:12:00
15555,12062.69,36,9006,2009-12-06 11:58:00,2011-11-27 16:19:00
15023,12008.05,20,4984,2010-02-03 15:45:00,2011-12-06 17:23:00
14415,11980.09,23,6263,2009-12-16 14:08:00,2011-12-08 14:38:00
17364,11972.92,28,7464,2009-12-07 15:28:00,2011-12-09 09:00:00
17044,11962.3,12,5722,2009-12-07 12:25:00,2011-11-14 14:28:00
13458,11959.27,16,6760,2010-11-16 14:01:00,2011-12-02 15:29:00
16258,11942.52,15,7200,2010-03-10 14:19:00,2011-10-25 13:30:00
16523,11916.33,28,4979,2010-01-24 13:14:00,2011-12-08 09:06:00
17338,11889.33,17,5780,2010-03-10 16:09:00,2011-11-22 14:23:00
13687,11880.84,1,87167,2010-09-27 16:30:00,2010-09-27 16:30:00
14505,11879.08,19,5325,2009-12-09 14:48:00,2011-11-22 15:45:00
18226,11878.88,26,7883,2010-03-05 10:05:00,2011-10-26 13:36:00
12705,11762.1,14,7188,2010-06-24 09:51:00,2011-11-24 13:17:00
14426,11727.94,17,7023,2010-03-04 14:36:00,2011-11-16 12:25:00
13102,11696.92,37,6576,2010-05-06 13:12:00,2011-12-08 12:52:00
13004,11650.85,36,8768,2009-12-15 09:44:00,2011-11-28 11:27:00
13576,11551.74,28,4614,2009-12-08 15:12:00,2011-11-29 15:34:00
15218,11468.83,22,6530,2010-01-26 11:33:00,2011-11-29 11:48:00
13680,11419.67,12,5244,2009-12-04 14:14:00,2011-12-08 13:47:00
14016,11403.41,11,5722,2010-01-08 14:12:00,2011-07-01 11:29:00
12668,11383.03,10,5049,2010-01-31 15:45:00,2011-11-28 10:56:00
17809,11337.39,20,3353,2009-12-02 14:52:00,2011-11-23 12:59:00
14045,11313.03,16,4587,2010-01-08 10:08:00,2011-08-22 15:27:00
15874,11284.76,21,5102,2010-01-07 13:56:00,2011-10-07 12:31:00
12539,11214.75,7,4535,2009-12-23 13:00:00,2011-11-17 13:30:00
18055,11143.12,14,3828,2010-10-22 13:27:00,2011-12-02 14:25:00
12524,11126.11,17,7178,2010-02-08 14:41:00,2011-11-30 15:31:00
14134,11123.35,15,5814,2009-12-10 09:25:00,2010-11-22 12:26:00
13941,11122.3,15,5426,2009-12-16 16:10:00,2011-11-18 09:43:00
12918,10953.5,1,1,2010-03-23 15:22:00,2010-03-23 15:22:00
16985,10923.16,23,3103,2009-12-10 13:34:00,2011-11-22 13:33:00
18052,10877.18,1,17766,2010-05-24 11:11:00,2010-05-24 11:11:00
14796,10840.54,27,7622,2009-12-14 15:06:00,2011-12-08 15:31:00
15694,10810.81,24,2658,2009-12-07 15:43:00,2011-12-09 09:44:00
18229,10803.71,28,3183,2009-12-03 14:42:00,2011-11-28 09:48:00
12431,10790.47,27,4707,2010-01-15 09:04:00,2011-11-04 11:55:00
16033,10764.45,27,4252,2010-08-11 16:44:00,2011-12-04 12:44:00
16327,10695.24,16,8516,2009-12-14 13:06:00,2011-11-25 13:23:00
16168,10636.47,66,5099,2009-12-03 12:38:00,2011-11-29 12:45:00
13324,10513.47,18,8448,2010-05-25 10:23:00,2011-11-03 16:28:00
15290,10496.28,26,6567,2010-02-24 10:15:00,2011-12-05 11:39:00
14028,10396.5,3,7170,2010-06-07 12:02:00,2010-06-07 13:33:00
16984,10350.53,9,5127,2010-03-07 15:34:00,2011-09-12 13:43:00
15296,10323.03,12,5452,2010-01-21 13:48:00,2011-10-20 11:47:00
14422,10271.52,19,6067,2009-12-17 12:12:00,2011-12-09 11:26:00
17160,10209.16,17,8390,2009-12-04 10:57:00,2011-11-08 14:05:00
15719,10195.97,31,5356,2009-12-01 12:47:00,2011-11-07 12:29:00
13599,10163.88,33,6493,2009-12-01 12:30:00,2011-12-08 16:10:00
15805,10148.93,30,6205,2009-12-10 12:57:00,2011-11-16 16:32:00
12839,10071.73,26,6849,2009-12-07 09:18:00,2011-12-07 12:33:00
12766,10068.28,9,5446,2010-10-28 09:29:00,2011-12-06 08:46:00
15547,10057.05,26,7278,2009-12-06 13:40:00,2011-12-02 12:52:00
14085,10028.72,33,6540,2009-12-08 13:41:00,2011-12-07 13:46:00
13985,10020.86,22,4936,2010-02-09 13:56:00,2011-12-05 17:06:00
16782,10000.32,38,4112,2009-12-09 11:58:00,2011-11-29 13:20:00
16353,9999.46,38,3531,2009-12-07 13:55:00,2011-12-06 12:23:00
14755,9972.55,25,4401,2009-12-03 16:51:00,2011-11-30 11:24:00
16182,9971.65,9,5887,2010-03-09 09:34:00,2011-09-28 13:23:00
14101,9961.93,13,10542,2010-03-28 13:36:00,2011-09-27 12:28:00
16131,9957.42,12,4768,2009-12-02 10:09:00,2011-10-19 11:53:00
18260,9947.26,23,5244,2009-12-15 13:50:00,2011-06-20 12:37:00
17049,9942.53,19,4273,2010-03-04 10:23:00,2011-12-07 10:48:00
16701,9916.73,26,11046,2009-12-01 19:19:00,2011-12-01 11:10:00
12758,9903.24,7,6155,2009-12-01 14:40:00,2011-08-15 10:22:00
14329,9887.62,15,5913,2009-12-16 15:31:00,2011-11-22 15:50:00
13327,9879.48,20,4479,2009-12-18 15:35:00,2011-11-01 10:21:00
12590,9864.26,2,4283,2011-05-12 14:46:00,2011-05-12 14:52:00
14828,9839.46,13,9718,2009-12-07 11:19:00,2011-05-27 10:16:00
18109,9833.16,38,4877,2010-07-01 12:13:00,2011-12-08 11:36:00
12490,9823.64,21,5906,2009-12-01 12:52:00,2011-12-04 16:07:00
14944,9784.67,19,4864,2010-02-17 08:47:00,2011-11-10 09:10:00
17306,9782.35,21,13747,2010-11-01 11:38:00,2011-11-29 12:14:00
13018,9763.16,35,6746,2010-03-01 12:34:00,2011-11-23 13:28:00
13735,9762.77,13,4135,2009-12-13 13:31:00,2011-11-15 11:14:00
13267,9758.26,36,4104,2009-12-07 16:56:00,2011-12-07 11:12:00
12380,9676.3,11,3355,2010-02-15 12:05:00,2011-11-18 11:27:00
14135,9643.92,24,9355,2009-12-02 08:58:00,2011-12-08 11:38:00
13069,9616.95,38,15354,2010-06-14 14:27:00,2011-12-09 08:39:00
17315,9599.58,43,5088,2010-09-27 12:45:00,2011-12-08 12:15:00
14091,9530.08,2,3316,2010-01-10 13:41:00,2010-02-23 15:17:00
17811,9519.8,47,5278,2010-09-20 11:24:00,2011-12-05 13:46:00
14060,9519.08,30,8119,2010-03-11 09:47:00,2011-12-05 12:29:00
13999,9502.26,29,5043,2009-12-05 12:42:00,2011-11-29 13:40:00
17504,9490.17,18,5420,2010-02-08 09:22:00,2011-05-17 12:59:00
15298,9459.37,23,6286,2009-12-08 17:04:00,2011-12-07 17:17:00
14146,9450.3,12,5780,2010-01-13 16:04:00,2011-12-01 10:18:00
14439,9443.04,5,2244,2010-01-21 14:01:00,2011-01-24 11:39:00
13758,9416.98,15,5068,2009-12-01 10:06:00,2011-11-28 11:11:00
17230,9388.49,18,3753,2009-12-08 13:41:00,2011-03-20 16:12:00
15727,9371.71,15,5908,2010-01-24 12:12:00,2011-11-23 12:36:00
16550,9368.24,18,5662,2009-12-02 11:24:00,2011-08-23 11:12:00
17757,9366.5,56,5151,2010-01-13 15:56:00,2011-12-08 15:31:00
13174,9364.42,12,4468,2009-12-04 15:40:00,2011-11-23 14:35:00
15981,9362.77,21,4827,2010-03-29 10:07:00,2011-11-15 08:00:00
13162,9275.49,16,5755,2009-12-04 13:59:00,2011-08-09 15:59:00
15249,9266.0,18,4980,2010-03-26 14:51:00,2011-11-08 11:45:00
12747,9257.04,26,2748,2009-12-07 13:23:00,2011-12-07 14:34:00
15570,9254.14,25,4244,2010-03-28 14:04:00,2011-12-02 14:47:00
14367,9227.82,16,4426,2011-03-08 14:12:00,2011-12-01 13:19:00
14292,9226.25,16,3429,2010-03-19 11:10:00,2011-12-02 11:50:00
13448,9189.89,13,4357,2009-12-06 12:14:00,2011-11-23 12:33:00
13756,9188.75,23,5426,2009-12-15 15:18:00,2011-12-07 16:44:00
15260,9188.23,25,4722,2009-12-06 11:45:00,2011-08-31 13:55:00
16700,9167.71,25,6882,2009-12-02 10:51:00,2011-12-01 11:00:00
17068,9153.83,47,4431,2010-03-28 14:26:00,2011-11-27 13:14:00
15939,9060.39,16,6260,2010-11-30 12:07:00,2011-09-11 11:30:00
16709,9056.01,14,3261,2009-12-09 13:16:00,2011-09-16 10:56:00
15867,9034.95,31,5113,2009-12-14 15:16:00,2011-12-04 13:32:00
12755,9030.66,11,3781,2010-01-15 11:57:00,2011-03-04 12:42:00
16186,9026.11,26,6825,2009-12-09 15:36:00,2011-11-17 12:43:00
16722,8989.08,22,8580,2009-12-03 19:23:00,2011-11-22 13:28:00
15150,8977.94,13,6167,2010-06-14 12:01:00,2011-11-22 12:52:00
15903,8939.84,12,3926,2010-01-14 10:57:00,2011-11-30 08:08:00
13555,8891.84,13,4762,2010-01-19 13:20:00,2011-09-27 12:36:00
13269,8888.75,28,6563,2009-12-02 11:47:00,2011-12-08 14:53:00
14709,8886.33,25,4141,2009-12-05 15:26:00,2011-11-24 15:41:00
12359,8873.39,10,2739,2009-12-05 13:32:00,2011-10-13 12:47:00
17576,8831.6,41,4640,2009-12-03 16:54:00,2011-12-01 17:56:00
17396,8807.1,14,2419,2010-09-24 13:04:00,2011-10-31 14:12:00
13047,8795.16,24,3429,2009-12-16 11:43:00,2011-11-08 12:06:00
16532,8756.64,5,2544,2010-03-29 10:26:00,2011-11-22 11:08:00
12957,8706.97,13,4686,2009-12-11 12:01:00,2011-11-30 09:53:00
13263,8676.2,39,5372,2010-10-22 17:07:00,2011-12-08 13:59:00
15955,8658.36,22,4213,2010-02-23 16:36:00,2011-11-15 14:15:00
15497,8657.39,9,2937,2009-12-18 15:08:00,2011-11-22 11:51:00
18041,8633.66,38,7784,2010-01-14 10:04:00,2011-11-28 11:39:00
16945,8548.16,33,5889,2009-12-09 11:33:00,2011-11-18 11:39:00
15281,8543.57,16,5233,2010-10-08 12:14:00,2011-10-12 09:10:00
15270,8524.86,21,4010,2009-12-17 15:02:00,2011-11-24 09:24:00
15984,8515.72,30,5786,2009-12-01 13:38:00,2011-12-07 12:16:00
12798,8510.93,4,8455,2010-10-14 12:27:00,2011-11-29 15:52:00
13209,8509.51,13,5781,2010-01-24 14:30:00,2011-11-09 13:54:00
15786,8501.62,5,5957,2010-06-21 10:13:00,2011-10-24 14:13:00
13148,8497.82,26,4487,2009-12-07 15:26:00,2011-11-10 15:23:00
14286,8479.76,7,8795,2009-12-04 08:40:00,2011-11-16 10:34:00
18139,8438.34,6,5557,2011-11-21 14:06:00,2011-11-22 10:44:00
13715,8425.69,17,4907,2010-03-11 15:33:00,2011-03-03 19:21:00
14160,8421.47,7,4661,2010-01-10 12:06:00,2010-04-08 14:30:00
14676,8356.79,12,8792,2010-03-10 09:30:00,2011-11-08 13:29:00
14057,8346.66,22,6438,2009-12-03 13:17:00,2011-11-16 10:32:00
17611,8337.53,28,5341,2009-12-01 13:29:00,2011-12-02 13:29:00
13206,8308.19,13,7086,2009-12-07 13:48:00,2010-11-04 16:50:00
12643,8304.82,12,4665,2010-04-07 14:16:00,2011-08-03 12:56:00
17686,8296.81,9,3583,2010-06-24 09:49:00,2011-12-02 15:39:00
12637,8283.81,12,4257,2010-06-14 13:36:00,2011-10-03 13:46:00
