stock_code,description,revenue,units_sold,orders
84997B,RED 3 PIECE MINI DOTS CUTLERY SET,34949.56,9378,1019
21479,WHITE SKULL HOT WATER BOTTLE,34560.68,6857,930
22384,LUNCH BAG PINK POLKADOT,34425.81,20988,2106
22666,RECIPE BOX PANTRY YELLOW DESIGN,34421.2,10928,1657
22382,LUNCH BAG SPACEBOY DESIGN,34317.59,20386,2153
AMAZONFEE,AMAZON FEE,34009.13,4,3
22630,DOLLY GIRL LUNCH BOX,33923.45,18334,1333
22726,ALARM CLOCK BAKELIKE GREEN,33666.34,7935,1273
22865,HAND WARMER OWL DESIGN,33394.91,15471,1212
22188,BLACK HEART CARD HOLDER,33197.05,12483,566
15036,ASSORTED COLOURS SILK FAN,33041.55,44365,991
84997C,BLUE 3 PIECE MINI DOTS CUTLERY SET,32942.86,8852,951
22385,JUMBO BAG SPACEBOY DESIGN,32735.2,17220,1248
22622,BOX OF VINTAGE ALPHABET BLOCKS,32144.04,3240,571
22077,6 RIBBONS RUSTIC CHARM,32142.04,17526,1751
85152,HAND OVER THE CHOCOLATE SIGN,31976.56,16603,1460
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,31927.13,7307,1009
48184,DOORMAT ENGLISH ROSE,31551.32,4770,851
22697,GREEN REGENCY TEACUP AND SAUCER,31431.67,10077,1353
22659,LUNCH BOX I LOVE LONDON,31142.57,16838,1075
23245,SET OF 3 REGENCY CAKE TINS,31118.55,6345,873
85014B,RED RETROSPOT UMBRELLA,31088.23,6196,900
22501,PICNIC BASKET WICKER LARGE,30768.59,2637,762
22752,SET 7 BABUSHKA NESTING BOXES,30736.75,3773,692
20679,EDWARDIAN PARASOL RED,30649.47,6256,715
23199,JUMBO BAG APPLES,30450.69,14908,978
21217,RED RETROSPOT ROUND CAKE TINS,30393.48,2952,928
22866,HAND WARMER SCOTTY DOG DESIGN,30323.64,13723,1083
22158,3 HEARTS HANGING DECORATION RUSTIC,30197.28,9341,718
82483,WOOD 2 DRAWER CABINET WHITE FINISH,30014.44,5072,1123
47590B,PINK HAPPY BIRTHDAY BUNTING,29532.93,5768,872
22867,HAND WARMER BIRD DESIGN,29484.32,13426,1054
22492,MINI PAINT SET VINTAGE,28999.39,45593,732
20971,PINK BLUE FELT CRAFT TRINKET BOX,28966.21,22580,1148
22467,GUMBALL COAT RACK,28919.8,12212,1095
48188,DOORMAT WELCOME PUPPIES,28775.21,4889,698
23355,HOT WATER BOTTLE KEEP CALM,28718.8,5816,782
84978,HANGING HEART JAR T-LIGHT HOLDER,28629.82,21819,1425
22835,HOT WATER BOTTLE I AM SO POORLY,28455.98,5524,1011
21977,PACK OF 60 PINK PAISLEY CAKE CASES,28413.63,56625,1993
82583,HOT BATHS METAL SIGN,28324.61,13008,1176
20719,WOODLAND CHARLOTTE BAG,28249.92,24901,1573
22961,JAM MAKING SET PRINTED,28218.24,18069,1200
22624,IVORY KITCHEN SCALES,28010.17,3232,1219
21930,JUMBO STORAGE BAG SKULLS,27888.86,13640,1321
23201,JUMBO BAG ALPHABET,27850.83,13366,906
72741,GRAND CHOCOLATECANDLE,27820.88,20113,920
20750,RED RETROSPOT MINI CASES,27523.12,3772,909
84991,60 TEATIME FAIRY CAKE CASES,27321.37,54537,2127
71459,HANGING JAM JAR T-LIGHT HOLDER,27090.51,33457,1017
22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,27039.82,9820,756
21481,FAWN BLUE HOT WATER BOTTLE,26925.18,8537,1050
22149,FELTCRAFT 6 FLOWER FRIENDS,26783.86,12888,1382
22507,MEMO BOARD RETROSPOT DESIGN,26626.56,5694,900
48111,DOORMAT 3 SMILEY CATS,26483.99,4301,720
22551,PLASTERS IN TIN SPACEBOY,26420.75,15740,1299
20711,JUMBO BAG TOYS,26183.0,12836,1052
82600,NO SINGING METAL SIGN,26168.76,12887,1201
21080,SET/20 RED RETROSPOT PAPER NAPKINS,26013.27,31801,2123
47566B,TEA TIME PARTY BUNTING,25954.45,5831,761
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,25859.05,13087,613
22087,PAPER BUNTING WHITE LACE,25507.12,8513,847
21527,RED RETROSPOT TRADITIONAL TEAPOT,25493.02,3414,831
22084,PAPER CHAIN KIT EMPIRE,25453.83,8870,811
37503,TEA TIME CAKE STAND IN GIFT BOX,25428.33,2465,522
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,25386.65,40703,1259
21314,SMALL GLASS HEART TRINKET POT,25253.85,11647,1066
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,25197.98,109898,1019
20972,PINK CREAM FELT CRAFT TRINKET BOX,25080.59,20704,1397
23173,REGENCY TEAPOT ROSES,24879.13,2766,416
22728,ALARM CLOCK BAKELIKE PINK,24858.52,6361,969
84836,ZINC METAL HEART DECORATION,24563.17,20057,1408
47590A,BLUE HAPPY BIRTHDAY BUNTING,24542.88,4826,689
21231,SWEETHEART CERAMIC TRINKET BOX,24499.38,19672,1482
22722,SET OF 6 SPICE TINS PANTRY DESIGN,24459.96,5972,835
22698,PINK REGENCY TEACUP AND SAUCER,24377.57,8194,1033
21258,VICTORIAN SEWING BOX LARGE,24089.84,1687,526
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,24081.66,3181,661
21790,VINTAGE SNAP CARDS,24063.3,27904,1888
21955,DOORMAT UNION JACK GUNS AND ROSES,23949.35,3933,729
21791,VINTAGE HEADS AND TAILS CARD GAME,23926.98,18532,1313
22625,RED KITCHEN SCALES,23851.23,2719,950
84406B,CREAM CUPID HEARTS COAT HANGER,23816.65,7383,841
23344,JUMBO BAG 50'S CHRISTMAS,23772.07,10285,716
22605,WOODEN CROQUET GARDEN SET,23731.02,1845,642
23243,SET OF TEA COFFEE SUGAR TINS PANTRY,23489.42,4800,470
48173C,DOORMAT BLACK FLOCK,23295.82,4099,500
22554,PLASTERS IN TIN WOODLAND ANIMALS,23276.56,13822,1275
22113,GREY HEART HOT WATER BOTTLE,23031.27,6020,996
22607,WOODEN ROUNDERS GARDEN SET,23030.05,2544,744
22585,PACK OF 6 BIRDY GIFT TAGS,22847.67,18288,1084
21936,RED RETROSPOT PICNIC BAG,22818.09,7823,1046
20749,ASSORTED COLOUR MINI CASES,22703.16,3143,766
37449,CERAMIC CAKE STAND + HANGING CAKES,22672.61,2415,477
22556,PLASTERS IN TIN CIRCUS PARADE,22651.23,13771,1196
22941,CHRISTMAS LIGHTS 10 REINDEER,22619.82,2707,483
22969,HOMEMADE JAM SCENTED CANDLES,22441.85,15075,709
22632,HAND WARMER RED RETROSPOT,22334.47,11166,779
84970S,HANGING HEART ZINC T-LIGHT HOLDER,22057.38,26756,1425
85014A,BLACK/BLUE POLKADOT UMBRELLA,22024.5,4660,684
21210,SET OF 72 RETROSPOT PAPER DOILIES,21948.56,15243,1161
22499,WOODEN UNION JACK BUNTING,21898.74,3595,774
22456,NATURAL SLATE CHALKBOARD LARGE,21859.23,4457,835
23202,JUMBO BAG VINTAGE LEAF,21810.43,10941,879
85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,21779.2,2749,517
21213,PACK OF 72 SKULL CAKE CASES,21661.75,40563,1481
22570,FELTCRAFT CUSHION RABBIT,21542.29,5795,807
23209,LUNCH BAG VINTAGE DOILY,21418.82,13170,1098
22424,ENAMEL BREAD BIN CREAM,21267.71,1557,739
22356,CHARLOTTE BAG PINK POLKADOT,21243.09,20226,1584
22617,BAKING SET SPACEBOY DESIGN,21138.14,4384,942
21218,RED SPOTTY BISCUIT TIN,21079.56,5299,897
22568,FELTCRAFT CUSHION OWL,21022.75,5683,875
22294,HEART FILIGREE DOVE SMALL,20962.02,16923,861
22569,FELTCRAFT CUSHION BUTTERFLY,20872.46,5717,784
23206,LUNCH BAG APPLE DESIGN,20852.58,12147,1036
48116,DOORMAT MULTICOLOUR STRIPE,20787.72,3459,496
85150,LADIES & GENTLEMEN METAL SIGN,20650.38,8512,1110
20723,STRAWBERRY CHARLOTTE BAG,20640.22,18441,1379
21559,STRAWBERRY LUNCH BOX WITH CUTLERY,20612.52,8313,1221
22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,20499.08,17899,350
21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",20484.03,3940,802
22900,SET 2 TEA TOWELS I LOVE LONDON,20459.51,6349,723
22273,FELTCRAFT DOLL MOLLY,20301.52,7398,810
22558,CLOTHES PEGS RETROSPOT PACK 24,20136.65,14263,1202
21622,VINTAGE UNION JACK CUSHION COVER,20080.49,3728,626
22381,TOY TIDY PINK POLKADOT,19960.07,9442,1100
22413,METAL SIGN TAKE IT OR LEAVE IT,19937.79,7037,881
22169,FAMILY ALBUM WHITE PICTURE FRAME,19930.8,2323,701
21174,POTTERING IN THE SHED METAL SIGN,19838.71,9800,1135
22952,60 CAKE CASES VINTAGE CHRISTMAS,19775.58,33719,1144
48129,DOORMAT TOPIARY,19752.97,3145,543
22561,WOODEN SCHOOL COLOURING SET,19740.54,11771,904
84997A,GREEN 3 PIECE MINI DOTS CUTLERY SET,19693.32,5262,589
71053,WHITE METAL LANTERN,19654.86,4976,727
22633,HAND WARMER UNION JACK,19521.13,9498,858
21908,CHOCOLATE THIS WAY METAL SIGN,19479.51,9839,974
84949,SILVER HANGING T-LIGHT HOLDER,19479.36,12232,693
22427,ENAMEL FLOWER JUG CREAM,19463.56,3238,798
21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,19398.11,1772,419
22041,"RECORD FRAME 7"" SINGLE SIZE",19371.46,7861,555
22061,LARGE CAKE STAND HANGING STRAWBERY,19260.67,2185,520
22555,PLASTERS IN TIN STRONGMAN,19240.02,11882,967
84947,ANTIQUE SILVER TEA GLASS ENGRAVED,19055.54,16065,680
21035,SET/2 RED RETROSPOT TEA TOWELS,18951.77,6079,929
21484,CHICK GREY HOT WATER BOTTLE,18949.6,4764,864
21121,SET/10 RED POLKADOT PARTY CANDLES,18930.58,15639,873
22847,BREAD BIN DINER STYLE IVORY,18890.09,1191,482
22837,HOT WATER BOTTLE BABUSHKA,18742.17,4008,450
84945,MULTI COLOUR SILVER T-LIGHT HOLDER,18596.55,22637,653
21430,SET/3 RED GINGHAM ROSE STORAGE BOX,18514.2,4741,814
22147,FELTCRAFT BUTTERFLY HEARTS,18358.85,13129,1132
22505,MEMO BOARD COTTAGE DESIGN,18318.08,3818,744
22560,TRADITIONAL MODELLING CLAY,18270.55,15192,742
21914,BLUE HARMONICA IN BOX,18194.35,13308,963
22654,DELUXE SEWING KIT,18135.92,2682,597
22776,SWEETHEART CAKESTAND 3 TIER,18074.68,1762,691
22352,LUNCH BOX WITH CUTLERY RETROSPOT,18067.42,7172,1117
79323W,WHITE CHERRY LIGHTS,18048.72,3004,349
22297,HEART IVORY TRELLIS SMALL,17926.6,13871,969
22557,PLASTERS IN TIN VINTAGE PAISLEY,17797.96,10598,1126
20718,RED RETROSPOT SHOPPER BAG,17730.0,13481,1213
47591D,PINK FAIRY CAKE CHILDRENS APRON,17685.22,9513,1140
21136,PAINTED METAL PEARS ASSORTED,17661.15,10606,739
21889,WOODEN BOX OF DOMINOES,17612.57,13212,1123
21156,RETROSPOT CHILDRENS APRON,17487.36,9391,930
84467,ENGLISH ROSE DESIGN QUILTED THROW,17477.66,816,83
84992,72 SWEETHEART FAIRY CAKE CASES,17440.21,35109,1460
22366,DOORMAT AIRMAIL,17423.17,2561,568
84970L,SINGLE HEART ZINC T-LIGHT HOLDER,17359.49,17561,1080
22652,TRAVEL SEWING KIT,17237.23,10146,830
35004C,SET OF 3 COLOURED FLYING DUCKS,17027.23,3280,355
23240,SET OF 4 KNICK KNACK TINS DOILY,17000.17,4177,536
21535,RED RETROSPOT SMALL MILK JUG,16842.1,6778,1111
21533,RETRO SPOT LARGE MILK JUG,16814.37,3385,954
21164,HOME SWEET HOME METAL SIGN,16812.3,6040,721
72760B,VINTAGE CREAM 3 BASKET CAKE STAND,16569.55,1714,494
22487,WHITE WOOD GARDEN PLANT LADDER,16549.4,1645,898
22993,SET OF 4 PANTRY JELLY MOULDS,16478.48,12649,1073
21155,RED RETROSPOT PEG BAG,16475.41,6726,969
84375,SET OF 20 KIDS COOKIE CUTTERS,16463.22,7889,796
22191,IVORY DINER WALL CLOCK,16454.05,1995,620
22662,LUNCH BAG DOLLY GIRL DESIGN,16368.31,10037,994
23301,GARDENERS KNEELING PAD KEEP CALM,16327.35,8807,913
22193,RED DINER WALL CLOCK,16296.48,1931,617
22296,HEART IVORY TRELLIS LARGE,16260.51,9855,833
22634,CHILDS BREAKFAST SET SPACEBOY,16223.5,1717,499
22619,SET OF 6 SOLDIER SKITTLES,16212.32,4154,708
22759,SET OF 3 NOTEBOOKS IN PARCEL,16176.04,9523,795
22635,CHILDS BREAKFAST SET DOLLY GIRL,16093.99,1689,485
21877,HOME SWEET HOME MUG,16083.97,14154,755
22367,CHILDRENS APRON SPACEBOY DESIGN,16060.91,8153,1156
22692,DOORMAT WELCOME TO OUR HOME,16024.84,2139,606
22940,FELTCRAFT CHRISTMAS FAIRY,16009.29,3653,586
22690,DOORMAT HOME SWEET HOME BLUE,15922.33,2540,437
22333,RETROSPOT PARTY BAG + STICKER SET,15865.82,10165,697
22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,15800.66,2406,575
23313,VINTAGE CHRISTMAS BUNTING,15798.66,2990,401
22173,METAL 4 HOOK HANGER FRENCH CHATEAU,15768.95,5137,997
22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,15760.83,17684,1086
22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,15729.83,3855,685
21094,SET/6 RED SPOTTY PAPER PLATES,15723.12,20160,984
21891,TRADITIONAL WOODEN SKIPPING ROPE,15713.0,12249,835
84378,SET OF 3 HEART COOKIE CUTTERS,15567.38,11761,1248
22730,ALARM CLOCK BAKELIKE IVORY,15534.04,3868,746
21844,RED RETROSPOT MUG,15518.32,5430,494
22365,DOORMAT RESPECTABLE HOUSE,15503.93,2355,443
22946,WOODEN ADVENT CALENDAR CREAM,15451.32,990,275
85232B,SET/3 RUSSIAN DOLL STACKING TINS,15436.48,3082,539
82582,AREA PATROLLED METAL SIGN,15426.07,7620,796
84050,PINK HEART SHAPE EGG FRYING PAN,15419.17,10514,715
21165,BEWARE OF THE CAT METAL SIGN,15351.35,9445,966
21975,PACK OF 60 DINOSAUR CAKE CASES,15330.25,31481,1303
21122,SET/10 PINK POLKADOT PARTY CANDLES,15280.06,12601,807
35970,ZINC FOLKART SLEIGH BELLS,15177.83,8400,692
22179,SET 10 LIGHTS NIGHT OWL,14953.75,2093,566
17003,BROCADE RING PURSE,14948.75,71394,456
21912,VINTAGE SNAKES & LADDERS,14934.74,3791,828
22606,WOODEN SKITTLES GARDEN SET,14913.84,1071,374
21770,OPEN CLOSED METAL SIGN,14807.3,2991,651
22150,3 STRIPEY MICE FELTCRAFT,14800.45,7948,938
22485,SET OF 2 WOODEN MARKET CRATES,14779.84,1109,419
21380,WOODEN HAPPY BIRTHDAY GARLAND,14643.48,5047,651
21672,WHITE SPOT RED CERAMIC DRAWER KNOB,14479.91,11172,815
21259,VICTORIAN SEWING BOX SMALL,14456.98,2395,655
21257,VICTORIAN SEWING BOX MEDIUM,14434.18,1587,532
22804,CANDLEHOLDER PINK HANGING HEART,14414.08,5377,670
21169,YOU'RE CONFUSING ME METAL SIGN,14397.69,8924,772
22627,MINT KITCHEN SCALES,14356.68,1634,653
84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,14329.03,10533,1114
20748,KENSINGTON COFFEE SET,14317.98,1604,183
22444,GROW YOUR OWN PLANT IN A CAN,14229.9,10416,453
22109,FULL ENGLISH BREAKFAST PLATE,14197.68,3431,642
23200,JUMBO BAG PEARS,14188.96,7067,595
21098,CHRISTMAS TOILET ROLL,14174.21,9007,596
22271,FELTCRAFT DOLL ROSIE,14156.3,4945,787
21888,BINGO SET,14152.84,3581,825
22236,CAKE STAND 3 TIER MAGIC GARDEN,14109.67,1140,421
22295,HEART FILIGREE DOVE LARGE,14108.2,8547,706
22667,RECIPE BOX RETROSPOT,14014.1,4990,848
35400,WOODEN BOX ADVENT CALENDAR,13999.1,1435,419
23343,JUMBO BAG VINTAGE CHRISTMAS,13972.71,6078,476
21669,BLUE STRIPE CERAMIC DRAWER KNOB,13971.07,10669,805
21668,RED STRIPE CERAMIC DRAWER KNOB,13958.04,10391,825
21871,SAVE THE PLANET MUG,13900.51,11654,779
22621,TRADITIONAL KNITTING NANCY,13847.06,8764,875
79323P,PINK CHERRY LIGHTS,13787.93,2281,265
21539,RED RETROSPOT BUTTER DISH,13769.44,2767,709
22636,CHILDS BREAKFAST SET CIRCUS PARADE,13761.73,1657,489
22846,BREAD BIN DINER STYLE RED,13750.37,855,346
22207,FRYING PAN UNION FLAG,13715.91,3185,480
23077,DOUGHNUT LIP GLOSS,13695.77,10395,344
47556B,TEA TIME TEA TOWELS,13691.02,5201,449
C2,CARRIAGE,13676.0,273,267
21390,FILIGRIS HEART WITH BUTTERFLY,13590.47,10967,588
22198,LARGE POPCORN HOLDER,13580.83,7793,646
22838,3 TIER CAKE TIN RED AND CREAM,13519.36,936,271
21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,13497.51,10221,763
22584,PACK OF 6 PANNETONE GIFT BOXES,13427.79,5271,589
22553,PLASTERS IN TIN SKULLS,13405.51,8009,1090
21935,SUKI SHOULDER BAG,13353.81,7209,921
21704,BAG 250g SWIRLY MARBLES,13343.35,17299,568
23356,LOVE HOT WATER BOTTLE,13334.32,2359,476
23207,LUNCH BAG ALPHABET DESIGN,13325.55,7830,740
23108,SET OF 10 LED DOLLY LIGHTS,13290.52,2219,372
20676,RED RETROSPOT BOWL,13279.16,10620,966
22580,ADVENT CALENDAR GINGHAM SACK,13277.72,2338,495
23328,SET 6 SCHOOL MILK BOTTLES IN CRATE,13269.49,2841,405
15044A,PINK PAPER PARASOL,13210.85,4964,250
75049L,LARGE CIRCULAR MIRROR MOBILE,13156.31,13969,344
22646,CERAMIC STRAWBERRY CAKE MONEY BANK,13151.21,9253,880
21906,PHARMACIE FIRST AID TIN,13143.55,1813,424
22655,VINTAGE RED KITCHEN CABINET,13140.0,77,53
22464,HANGING METAL HEART LANTERN,13129.58,7922,784
22947,WOODEN ADVENT CALENDAR RED,13111.85,1026,209
22088,PAPER BUNTING COLOURED LACE,13103.44,4407,619
22766,PHOTO FRAME CORNICE,13094.44,4436,640
84988,SET OF 72 PINK HEART PAPER DOILIES,13059.2,8393,1019
22144,CHRISTMAS CRAFT LITTLE FRIENDS,12994.69,5368,704
22834,HAND WARMER BABUSHKA DESIGN,12879.75,7641,597
22943,CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,12783.82,2601,356
22616,PACK OF 12 LONDON TISSUES,12747.23,40106,825
22303,COFFEE MUG APPLES DESIGN,12701.63,5439,540
22623,BOX OF VINTAGE JIGSAW BLOCKS,12665.58,2353,541
22082,RIBBON REEL STRIPES DESIGN,12504.77,7427,957
15056P,EDWARDIAN PARASOL PINK,12479.47,2526,344
62018,SOMBRERO,12456.7,9570,127
21671,RED SPOT CERAMIC DRAWER KNOB,12426.88,9552,727
22301,COFFEE MUG CAT + BIRD DESIGN,12399.66,5104,643
22631,CIRCUS PARADE LUNCH BOX,12368.01,6327,663
23174,REGENCY SUGAR BOWL GREEN,12342.43,3055,322
20969,RED FLORAL FELTCRAFT SHOULDER BAG,12300.1,3290,613
22192,BLUE DINER WALL CLOCK,12274.76,1444,543
20975,12 PENCILS SMALL TUBE RED RETROSPOT,12255.73,18668,902
22729,ALARM CLOCK BAKELIKE ORANGE,12253.88,3093,612
21124,SET/10 BLUE SPOTTY PARTY CANDLES,12242.8,10084,629
85042,ANTIQUE LILY FAIRY LIGHTS,12234.56,2685,292
22791,T-LIGHT GLASS FLUTED ANTIQUE,12211.71,9846,434
21670,BLUE SPOT CERAMIC DRAWER KNOB,12183.79,8918,767
21154,RED RETROSPOT OVEN GLOVE,12100.22,8396,903
21937,STRAWBERRY PICNIC BAG,12091.96,4114,657
22750,FELTCRAFT PRINCESS LOLA DOLL,12035.22,3214,647
21787,RAIN PONCHO RETROSPOT,11986.36,15184,469
21242,RED RETROSPOT PLATE,11979.4,7120,657
21428,SET3 BOOK BOX GREEN GINGHAM FLOWER,11975.93,2935,465
84212,"ASSORTED FLOWER COLOUR ""LEIS""",11962.14,24795,277
22968,ROSE COTTAGE KEEPSAKE BOX,11952.26,1194,306
22243,5 HOOK HANGER RED MAGIC TOADSTOOL,11949.41,7731,388
84987,SET OF 36 TEATIME PAPER DOILIES,11890.9,8150,812
21326,AGED GLASS SILVER T-LIGHT HOLDER,11886.68,18224,643
22637,PIGGY BANK RETROSPOT,11882.33,4611,598
22488,NATURAL SLATE RECTANGLE CHALKBOARD,11874.22,6951,808
22468,BABUSHKA LIGHTS STRING OF 10,11846.63,1777,413
47567B,TEA TIME KITCHEN APRON,11814.99,2187,348
22844,VINTAGE CREAM DOG FOOD CONTAINER,11788.72,1247,498
23300,GARDENERS KNEELING PAD CUP OF TEA,11785.99,6809,758
21260,FIRST AID TIN,11775.68,3577,534
22508,DOORSTOP RETROSPOT HEART,11750.29,2923,697
21429,RED GINGHAM ROSE JEWELLERY BOX,11743.53,6568,997
22649,STRAWBERRY FAIRY CAKE TEAPOT,11698.12,2325,486
22795,SWEETHEART RECIPE BOOK STAND,11697.31,1661,498
22151,PLACE SETTING WHITE HEART,11692.69,27749,716
22988,SOLDIERS EGG CUP,11673.72,9684,446
22740,POLKADOT PEN,11670.69,13628,300
23581,JUMBO BAG PAISLEY PARK,11581.83,5020,338
