customer_id,first_purchase_date,latest_purchase_date,frequency,monetary,units_purchased,recency_days,customer_lifetime_days,average_order_value,recency_score,frequency_score,monetary_score,rfm_score,customer_segment
12367,2011-12-05 16:48:00,2011-12-05 16:48:00,1,168.9,173,4,0,168.9,5,1,1,511,New Customers
12368,2010-03-21 15:56:00,2010-03-21 15:56:00,1,917.7,330,628,0,917.7,1,1,3,113,Lost Customers
12369,2010-03-08 08:09:00,2010-10-22 13:13:00,3,1791.15,1241,413,228,597.05,1,3,4,134,Hibernating
12370,2010-02-09 09:41:00,2011-10-19 14:51:00,7,4316.56,2604,51,617,616.65,4,4,5,445,Champions
12371,2010-03-04 18:23:00,2011-10-26 10:16:00,5,4067.38,1436,45,600,813.48,4,4,5,445,Champions
12372,2011-02-16 12:46:00,2011-09-29 12:12:00,3,1298.04,794,72,224,432.68,3,3,4,334,Big Spenders
12373,2010-02-04 12:08:00,2011-02-01 13:10:00,3,1127.65,516,311,362,375.88,2,3,3,233,Hibernating
12374,2010-04-30 14:01:00,2011-11-14 15:37:00,4,2989.22,1362,25,563,747.3,4,3,5,435,Potential Loyalists
12375,2011-09-02 14:23:00,2011-11-29 10:36:00,2,457.5,178,11,87,228.75,5,2,2,522,Potential Loyalists
12376,2010-10-18 08:42:00,2010-11-15 12:15:00,2,503.15,240,390,28,251.58,2,2,2,222,Hibernating
12377,2010-04-29 15:34:00,2011-01-28 15:45:00,4,3426.32,2105,315,274,856.58,2,3,5,235,Hibernating
12378,2010-05-26 14:07:00,2011-08-02 10:34:00,2,5416.32,3316,130,432,2708.16,3,2,5,325,Big Spenders
12379,2010-06-23 12:49:00,2011-09-19 10:09:00,4,1620.22,815,82,452,405.06,3,3,4,334,Big Spenders
12380,2010-02-15 12:05:00,2011-11-18 11:27:00,11,9676.3,3355,22,640,879.66,4,5,5,455,Champions
12381,2011-08-12 09:57:00,2011-12-05 12:44:00,5,1845.31,808,5,115,369.06,5,4,4,544,Champions
12383,2010-12-22 14:28:00,2011-06-08 08:02:00,5,1850.56,1532,185,167,370.11,3,4,4,344,Loyal Customers
12384,2011-08-10 11:23:00,2011-11-11 08:39:00,2,585.27,126,29,92,292.64,4,2,2,422,Potential Loyalists
12385,2010-11-25 15:14:00,2010-11-25 15:14:00,1,1938.4,612,379,0,1938.4,2,1,4,214,Hibernating
12386,2010-12-08 09:53:00,2011-01-06 12:37:00,2,660.8,568,338,29,330.4,2,2,3,223,Hibernating
12387,2010-10-20 16:27:00,2010-10-20 16:27:00,1,143.94,134,415,0,143.94,1,1,1,111,Lost Customers
12388,2010-05-06 12:54:00,2011-11-24 12:30:00,8,3901.11,2001,16,566,487.64,5,4,5,545,Champions
12389,2010-02-22 10:15:00,2010-11-02 11:52:00,3,1433.33,614,403,253,477.78,2,3,4,234,Hibernating
12390,2011-09-21 09:33:00,2011-09-21 09:33:00,1,549.84,353,80,0,549.84,3,1,2,312,Need Attention
12391,2010-02-15 10:12:00,2011-11-18 12:07:00,6,2724.84,1204,22,641,454.14,4,4,4,444,Champions
12392,2010-04-27 14:04:00,2010-04-27 14:04:00,1,234.75,73,591,0,234.75,1,1,1,111,Lost Customers
12393,2010-10-07 13:49:00,2011-09-28 15:41:00,6,2399.45,1311,72,356,399.91,3,4,4,344,Loyal Customers
12394,2011-05-06 14:01:00,2011-10-07 08:08:00,2,1272.48,819,64,153,636.24,3,2,4,324,Big Spenders
12395,2010-04-16 10:16:00,2011-11-20 15:21:00,15,5067.27,3733,19,583,337.82,5,5,5,555,Champions
12396,2010-02-03 13:22:00,2010-02-03 13:22:00,1,931.43,591,674,0,931.43,1,1,3,113,Lost Customers
12397,2011-07-27 14:21:00,2011-11-04 09:52:00,2,2409.9,1263,36,99,1204.95,4,2,4,424,Potential Loyalists
12398,2011-10-25 10:27:00,2011-10-25 10:27:00,1,1635.66,1394,46,0,1635.66,4,1,4,414,Need Attention
12399,2010-03-05 08:45:00,2011-08-12 13:15:00,7,1962.3,2198,119,525,280.33,3,4,4,344,Loyal Customers
12400,2010-10-21 13:45:00,2010-10-21 13:45:00,1,205.25,91,414,0,205.25,1,1,1,111,Lost Customers
12401,2011-02-09 13:50:00,2011-02-09 13:50:00,1,84.3,11,303,0,84.3,2,1,1,211,Hibernating
12402,2010-02-07 12:41:00,2011-01-20 13:49:00,6,1256.9,584,323,347,209.48,2,4,4,244,At Risk
12403,2010-07-06 11:39:00,2011-10-21 10:51:00,2,1019.36,260,50,471,509.68,4,2,3,423,Potential Loyalists
12404,2010-01-26 16:25:00,2010-01-26 16:25:00,1,63.24,1,682,0,63.24,1,1,1,111,Lost Customers
12405,2011-07-14 08:52:00,2011-07-14 08:52:00,1,1710.39,857,149,0,1710.39,3,1,4,314,Need Attention
12406,2010-01-11 14:04:00,2011-11-17 19:22:00,5,6390.36,3416,22,675,1278.07,4,4,5,445,Champions
12407,2011-03-20 13:21:00,2011-10-21 10:11:00,5,1708.12,1416,50,214,341.62,4,4,4,444,Champions
12408,2010-07-29 13:27:00,2011-11-07 12:27:00,8,4340.77,2229,33,465,542.6,4,4,5,445,Champions
12409,2010-05-23 15:21:00,2011-09-22 10:38:00,7,23419.29,13143,79,486,3345.61,3,4,5,345,Loyal Customers
12410,2010-07-25 13:26:00,2011-02-04 10:39:00,3,1013.71,341,309,193,337.9,2,3,3,233,Hibernating
12411,2010-10-26 09:25:00,2010-10-26 09:25:00,1,346.9,138,410,0,346.9,2,1,2,212,Hibernating
12412,2010-06-18 13:22:00,2011-09-26 10:16:00,6,2596.93,1997,75,464,432.82,3,4,4,344,Loyal Customers
12413,2010-11-02 13:26:00,2011-10-04 09:00:00,4,999.45,319,67,335,249.86,3,3,3,333,Need Attention
12414,2010-09-02 12:22:00,2011-05-06 14:51:00,6,952.41,495,217,246,158.73,2,4,3,243,At Risk
12415,2010-06-30 08:30:00,2011-11-15 14:22:00,28,144458.37,91447,24,503,5159.23,4,5,5,455,Champions
12416,2010-02-21 10:19:00,2010-02-21 10:19:00,1,202.56,132,657,0,202.56,1,1,1,111,Lost Customers
12417,2009-12-06 10:30:00,2011-12-06 14:52:00,20,6797.41,2884,3,730,339.87,5,5,5,555,Champions
12418,2010-03-19 14:47:00,2011-08-19 11:08:00,4,2021.2,1088,113,517,505.3,3,3,4,334,Big Spenders
12419,2010-10-22 10:40:00,2010-11-19 10:04:00,2,503.01,231,386,27,251.5,2,2,2,222,Hibernating
12420,2011-10-07 08:55:00,2011-10-07 08:55:00,1,600.39,345,64,0,600.39,3,1,2,312,Need Attention
12421,2010-07-22 13:57:00,2011-11-24 09:07:00,6,1098.6,652,16,489,183.1,5,4,3,543,Loyal Customers
12422,2009-12-18 12:44:00,2011-09-05 09:48:00,17,5231.8,2596,96,625,307.75,3,5,5,355,Loyal Customers
12423,2010-08-31 09:31:00,2011-12-09 10:10:00,10,2622.39,1793,1,465,262.24,5,5,4,554,Champions
12424,2010-06-09 15:15:00,2011-06-30 12:06:00,4,3340.03,2025,163,385,835.01,3,3,5,335,Big Spenders
12425,2010-09-17 14:10:00,2011-09-22 17:31:00,2,1741.41,1147,78,370,870.7,3,2,4,324,Big Spenders
12426,2010-02-15 08:41:00,2011-05-29 12:26:00,2,1345.21,584,195,468,672.6,2,2,4,224,Hibernating
12427,2010-12-03 10:44:00,2011-11-18 08:56:00,3,1129.3,612,22,349,376.43,4,3,3,433,Potential Loyalists
12428,2011-03-01 09:33:00,2011-11-14 08:22:00,9,7956.46,3536,26,257,884.05,4,5,5,455,Champions
12429,2010-06-11 13:28:00,2011-11-30 17:22:00,8,7485.91,3344,9,537,935.74,5,4,5,545,Champions
12430,2011-10-27 15:09:00,2011-10-27 15:09:00,1,256.4,117,43,0,256.4,4,1,1,411,Need Attention
12431,2010-01-15 09:04:00,2011-11-04 11:55:00,27,10790.47,4707,36,658,399.65,4,5,5,455,Champions
12432,2011-06-20 13:27:00,2011-10-28 11:43:00,5,5059.32,1801,43,129,1011.86,4,4,5,445,Champions
12433,2010-08-20 09:23:00,2011-12-09 10:02:00,10,20581.26,17116,1,476,2058.13,5,5,5,555,Champions
12434,2010-11-23 13:38:00,2011-09-16 12:38:00,3,1103.43,532,85,296,367.81,3,3,3,333,Need Attention
12435,2009-12-02 13:58:00,2011-09-21 09:06:00,6,13925.93,4958,80,657,2320.99,3,4,5,345,Loyal Customers
12436,2011-09-01 12:09:00,2011-09-01 12:09:00,1,509.01,211,100,0,509.01,3,1,2,312,Need Attention
12437,2009-12-02 16:24:00,2011-12-08 11:35:00,39,12683.4,8000,2,735,325.22,5,5,5,555,Champions
12438,2011-07-22 13:29:00,2011-11-25 13:28:00,2,2906.85,1180,14,125,1453.42,5,2,4,524,Potential Loyalists
12439,2009-12-14 08:40:00,2010-01-26 12:11:00,2,1142.88,478,683,43,571.44,1,2,3,123,Lost Customers
12440,2009-12-22 12:03:00,2010-09-03 13:11:00,2,859.2,331,462,255,429.6,1,2,3,123,Lost Customers
12441,2010-12-08 10:45:00,2010-12-08 10:45:00,1,347.1,242,367,0,347.1,2,1,2,212,Hibernating
12442,2011-12-06 14:22:00,2011-12-06 14:22:00,1,172.06,182,3,0,172.06,5,1,1,511,New Customers
12443,2009-12-07 15:42:00,2009-12-07 15:42:00,1,485.31,182,732,0,485.31,1,1,2,112,Lost Customers
12444,2011-06-21 14:00:00,2011-11-18 13:23:00,5,5005.46,1153,21,149,1001.09,4,4,5,445,Champions
12445,2010-10-15 12:28:00,2011-11-17 18:43:00,2,434.98,206,22,398,217.49,4,2,2,422,Potential Loyalists
12446,2011-10-13 12:50:00,2011-10-13 12:50:00,1,1002.31,351,58,0,1002.31,4,1,3,413,Need Attention
12447,2011-04-10 13:25:00,2011-04-10 13:25:00,1,476.49,190,243,0,476.49,2,1,2,212,Hibernating
12448,2011-10-26 13:46:00,2011-10-26 13:46:00,1,449.45,243,44,0,449.45,4,1,2,412,Need Attention
12449,2010-09-27 09:37:00,2011-11-17 13:46:00,6,4835.89,2282,22,416,805.98,4,4,5,445,Champions
12450,2010-08-22 13:11:00,2011-07-06 14:41:00,5,688.2,442,156,318,137.64,3,4,3,343,Loyal Customers
12451,2010-06-28 12:58:00,2011-11-29 08:40:00,8,12669.88,9359,11,518,1583.74,5,4,5,545,Champions
12452,2011-11-23 08:05:00,2011-11-23 10:28:00,2,430.57,185,17,0,215.28,5,2,2,522,Potential Loyalists
12453,2011-07-28 14:08:00,2011-07-28 14:08:00,1,707.09,473,134,0,707.09,3,1,3,313,Need Attention
12454,2010-10-14 17:33:00,2011-10-14 17:13:00,5,16679.78,7703,56,364,3335.96,4,4,5,445,Champions
12455,2009-12-18 12:33:00,2011-09-27 15:31:00,10,5879.95,3302,73,648,588.0,3,5,5,355,Loyal Customers
12456,2011-03-30 09:12:00,2011-10-26 14:41:00,3,3181.04,1633,44,210,1060.35,4,3,5,435,Potential Loyalists
12457,2010-09-30 17:59:00,2011-10-04 13:13:00,8,2995.91,1094,66,368,374.49,3,4,5,345,Loyal Customers
12458,2010-08-09 10:33:00,2011-09-29 15:25:00,4,1777.49,986,71,416,444.37,3,3,4,334,Big Spenders
12459,2010-04-13 14:53:00,2010-04-13 14:53:00,1,454.36,258,605,0,454.36,1,1,2,112,Lost Customers
12460,2010-09-09 13:51:00,2010-09-09 13:51:00,1,326.65,170,456,0,326.65,1,1,2,112,Lost Customers
12461,2011-07-08 10:23:00,2011-09-06 16:57:00,2,826.88,287,94,60,413.44,3,2,3,323,Need Attention
12462,2011-02-09 14:44:00,2011-11-21 09:11:00,2,1189.59,536,19,284,594.79,5,2,3,523,Potential Loyalists
12463,2011-04-12 12:47:00,2011-10-17 13:44:00,4,1344.78,776,53,188,336.2,4,3,4,434,Potential Loyalists
12464,2011-02-03 13:30:00,2011-11-29 13:33:00,8,1212.05,112,10,299,151.51,5,4,3,543,Loyal Customers
12465,2011-06-23 13:37:00,2011-11-22 16:34:00,2,742.19,479,17,152,371.1,5,2,3,523,Potential Loyalists
12466,2010-01-26 16:26:00,2010-01-26 16:26:00,1,56.73,1,682,0,56.73,1,1,1,111,Lost Customers
12467,2010-10-12 15:41:00,2010-10-12 15:41:00,1,132.8,129,423,0,132.8,1,1,1,111,Lost Customers
12468,2010-01-26 10:09:00,2011-06-05 11:36:00,5,3670.74,2201,188,495,734.15,3,4,5,345,Loyal Customers
12469,2010-06-21 10:30:00,2010-07-05 12:40:00,2,3070.54,2552,523,14,1535.27,1,2,5,125,Lost Customers
12470,2010-01-19 11:01:00,2010-01-19 11:01:00,1,211.95,95,690,0,211.95,1,1,1,111,Lost Customers
12471,2009-12-07 10:41:00,2011-12-07 15:43:00,79,39918.19,16858,2,730,505.29,5,5,5,555,Champions
12472,2009-12-14 10:49:00,2011-11-07 14:01:00,19,17880.59,11350,32,693,941.08,4,5,5,455,Champions
12473,2011-06-01 10:15:00,2011-11-10 13:46:00,5,3928.05,2414,29,162,785.61,4,4,5,445,Champions
12474,2010-02-11 09:41:00,2011-11-22 14:39:00,31,12372.75,7940,17,649,399.12,5,5,5,555,Champions
12475,2010-10-26 08:49:00,2011-10-17 10:10:00,2,1149.64,771,54,356,574.82,4,2,3,423,Potential Loyalists
12476,2010-07-26 09:04:00,2011-11-24 12:40:00,23,14083.91,5631,16,486,612.34,5,5,5,555,Champions
12477,2010-03-26 14:01:00,2011-11-17 09:51:00,9,20276.37,6119,23,600,2252.93,4,5,5,455,Champions
12478,2011-12-06 09:56:00,2011-12-06 09:56:00,1,680.99,236,4,0,680.99,5,1,3,513,New Customers
12479,2011-11-28 13:26:00,2011-11-28 13:26:00,1,527.2,385,11,0,527.2,5,1,2,512,New Customers
12480,2010-07-20 13:21:00,2011-11-11 14:52:00,7,5464.85,2952,28,479,780.69,4,4,5,445,Champions
12481,2010-04-11 13:10:00,2011-11-17 08:29:00,15,12344.89,7243,23,584,822.99,4,5,5,455,Champions
12482,2010-02-24 10:24:00,2010-05-12 16:51:00,29,23691.4,27042,576,77,816.94,1,5,5,155,At Risk
12483,2010-01-31 13:28:00,2011-11-22 17:02:00,19,5097.18,2160,17,660,268.27,5,5,5,555,Champions
12484,2010-01-27 16:41:00,2011-11-07 11:37:00,12,6354.1,3266,33,648,529.51,4,5,5,455,Champions
12485,2010-06-28 15:22:00,2010-06-28 15:22:00,1,708.1,414,529,0,708.1,1,1,3,113,Lost Customers
12486,2010-10-04 12:14:00,2010-10-04 12:14:00,1,1037.28,523,432,0,1037.28,1,1,3,113,Lost Customers
12487,2009-12-09 11:36:00,2009-12-09 11:36:00,1,285.3,174,731,0,285.3,1,1,1,111,Lost Customers
12488,2011-09-25 10:34:00,2011-11-30 08:50:00,3,1298.66,529,10,65,432.89,5,3,4,534,Potential Loyalists
12489,2011-01-07 13:13:00,2011-01-07 13:13:00,1,334.93,105,336,0,334.93,2,1,2,212,Hibernating
12490,2009-12-01 12:52:00,2011-12-04 16:07:00,21,9823.64,5906,5,733,467.79,5,5,5,555,Champions
12491,2011-11-01 12:18:00,2011-11-01 12:18:00,1,460.4,260,39,0,460.4,4,1,2,412,Need Attention
12492,2010-11-01 14:58:00,2011-10-07 15:15:00,3,715.21,444,63,340,238.4,3,3,3,333,Need Attention
12493,2011-05-26 14:53:00,2011-06-27 10:17:00,2,433.74,207,166,31,216.87,3,2,2,322,Need Attention
12494,2010-05-12 13:52:00,2011-11-24 09:34:00,9,1872.87,988,16,560,208.1,5,5,4,554,Champions
12495,2010-03-09 10:53:00,2010-03-09 10:53:00,1,357.4,130,641,0,357.4,1,1,2,112,Lost Customers
12496,2010-03-29 13:57:00,2010-03-29 14:06:00,2,45.34,30,620,0,22.67,1,2,1,121,Lost Customers
12497,2010-03-05 09:39:00,2011-09-19 12:29:00,3,6248.5,5685,82,563,2082.83,3,3,5,335,Big Spenders
12498,2011-10-13 09:30:00,2011-11-18 12:53:00,3,403.7,159,21,36,134.57,4,3,2,432,Potential Loyalists
12499,2010-05-28 15:12:00,2010-05-28 15:12:00,1,393.72,302,560,0,393.72,1,1,2,112,Lost Customers
12500,2010-02-04 15:05:00,2011-11-16 16:20:00,19,5955.21,3377,23,650,313.43,4,5,5,455,Champions
12501,2011-01-07 12:28:00,2011-01-07 12:28:00,1,2169.39,1783,337,0,2169.39,2,1,4,214,Hibernating
12502,2011-02-03 10:41:00,2011-09-05 11:52:00,5,3723.87,820,96,214,744.77,3,4,5,345,Loyal Customers
12503,2010-05-04 13:59:00,2010-05-04 13:59:00,1,1126.0,561,584,0,1126.0,1,1,3,113,Lost Customers
12504,2010-04-22 10:24:00,2011-11-21 16:02:00,4,779.05,458,18,578,194.76,5,3,3,533,Potential Loyalists
12505,2010-10-27 09:18:00,2010-10-27 09:18:00,1,955.2,324,409,0,955.2,2,1,3,213,Hibernating
12506,2011-04-21 08:54:00,2011-04-21 08:54:00,1,73.5,23,233,0,73.5,2,1,1,211,Hibernating
12507,2010-05-04 09:23:00,2011-07-28 17:09:00,4,1844.06,1256,134,450,461.02,3,3,4,334,Big Spenders
12508,2011-11-10 16:27:00,2011-11-13 15:37:00,2,397.88,271,26,2,198.94,4,2,2,422,Potential Loyalists
12509,2011-02-28 14:45:00,2011-02-28 14:45:00,1,176.5,55,284,0,176.5,2,1,1,211,Hibernating
12510,2009-12-04 13:47:00,2011-07-20 10:15:00,9,5178.02,2049,143,592,575.34,3,5,5,355,Loyal Customers
12511,2010-10-07 10:39:00,2010-10-07 10:39:00,1,3084.02,1753,429,0,3084.02,1,1,5,115,Lost Customers
12512,2011-10-04 14:53:00,2011-10-04 14:55:00,2,132.18,96,66,0,66.09,3,2,1,321,Need Attention
12513,2011-08-19 10:51:00,2011-08-19 10:51:00,1,612.29,462,113,0,612.29,3,1,2,312,Need Attention
12514,2010-03-08 12:18:00,2011-03-17 16:38:00,2,1597.76,840,267,374,798.88,2,2,4,224,Hibernating
12515,2010-12-21 15:43:00,2010-12-21 15:43:00,1,383.7,131,353,0,383.7,2,1,2,212,Hibernating
12516,2010-04-19 14:14:00,2011-09-23 09:13:00,4,2648.62,1952,78,521,662.16,3,3,4,334,Big Spenders
12517,2011-06-02 15:13:00,2011-11-11 14:04:00,5,2481.6,1361,28,161,496.32,4,4,4,444,Champions
12518,2011-08-21 13:18:00,2011-12-09 10:13:00,5,2056.89,1318,1,109,411.38,5,4,4,544,Champions
12519,2010-08-20 08:21:00,2011-10-07 09:26:00,2,716.54,387,64,413,358.27,3,2,3,323,Need Attention
12520,2011-03-11 11:35:00,2011-09-21 15:23:00,5,2634.26,1439,79,194,526.85,3,4,4,344,Loyal Customers
12521,2011-07-20 10:51:00,2011-07-20 10:51:00,1,599.68,309,143,0,599.68,3,1,2,312,Need Attention
12522,2011-10-19 14:41:00,2011-10-31 15:30:00,2,192.72,194,39,12,96.36,4,2,1,421,Potential Loyalists
12523,2009-12-07 13:46:00,2011-11-20 12:55:00,23,4352.35,2263,19,712,189.23,5,5,5,555,Champions
12524,2010-02-08 14:41:00,2011-11-30 15:31:00,17,11126.11,7178,9,660,654.48,5,5,5,555,Champions
12525,2010-03-02 14:01:00,2010-07-29 16:08:00,3,973.73,509,498,149,324.58,1,3,3,133,Hibernating
12526,2011-09-06 14:19:00,2011-12-09 12:09:00,3,1316.66,632,1,93,438.89,5,3,4,534,Potential Loyalists
12527,2010-06-28 15:37:00,2011-09-19 11:55:00,5,735.51,526,82,447,147.1,3,4,3,343,Loyal Customers
12528,2011-01-31 09:05:00,2011-11-30 14:40:00,6,1933.48,756,9,303,322.25,5,4,4,544,Champions
12529,2010-06-29 13:10:00,2010-06-29 13:10:00,1,316.48,192,528,0,316.48,1,1,2,112,Lost Customers
12530,2010-03-07 14:37:00,2011-10-11 12:34:00,9,3759.26,2713,60,582,417.7,3,5,5,355,Loyal Customers
12531,2010-01-22 14:17:00,2011-11-25 11:12:00,2,1933.2,1119,15,671,966.6,5,2,4,524,Potential Loyalists
12532,2011-11-09 13:47:00,2011-11-09 13:47:00,1,349.83,153,30,0,349.83,4,1,2,412,Need Attention
12533,2009-12-01 11:50:00,2010-03-22 10:56:00,2,1367.89,704,628,110,683.94,1,2,4,124,Lost Customers
12534,2011-08-01 10:26:00,2011-08-01 10:26:00,1,1089.18,651,131,0,1089.18,3,1,3,313,Need Attention
12535,2011-06-06 12:47:00,2011-09-09 08:48:00,2,716.35,219,92,94,358.18,3,2,3,323,Need Attention
12536,2011-10-11 14:52:00,2011-10-27 14:20:00,3,12601.83,2803,43,15,4200.61,4,3,5,435,Potential Loyalists
12537,2010-10-27 08:36:00,2010-10-27 08:36:00,1,732.94,449,409,0,732.94,2,1,3,213,Hibernating
12538,2010-11-26 13:02:00,2011-11-10 17:16:00,2,640.45,336,29,349,320.23,4,2,3,423,Potential Loyalists
12539,2009-12-23 13:00:00,2011-11-17 13:30:00,7,11214.75,4535,22,694,1602.11,4,4,5,445,Champions
12540,2009-12-07 16:56:00,2011-11-20 11:31:00,33,22254.49,11019,20,712,674.38,4,5,5,455,Champions
12541,2011-03-04 09:32:00,2011-11-10 10:40:00,3,981.18,680,30,251,327.06,4,3,3,433,Potential Loyalists
12542,2010-03-09 16:26:00,2010-08-12 19:12:00,2,481.88,522,484,156,240.94,1,2,2,122,Lost Customers
12543,2010-09-17 15:51:00,2010-09-17 15:51:00,1,980.25,688,448,0,980.25,1,1,3,113,Lost Customers
12544,2011-11-03 16:15:00,2011-11-03 16:15:00,1,372.7,136,36,0,372.7,4,1,2,412,Need Attention
12545,2011-03-25 12:04:00,2011-09-25 13:39:00,2,1000.39,523,75,184,500.2,3,2,3,323,Need Attention
12546,2011-09-23 09:44:00,2011-10-24 12:09:00,2,1161.5,633,47,31,580.75,4,2,3,423,Potential Loyalists
12547,2010-07-27 13:55:00,2011-05-26 12:38:00,3,383.58,309,198,302,127.86,2,3,2,232,Hibernating
12548,2011-06-26 15:35:00,2011-06-26 15:35:00,1,95.2,49,166,0,95.2,3,1,1,311,Need Attention
12549,2010-01-11 12:29:00,2010-05-13 12:05:00,6,1575.68,1366,576,121,262.61,1,4,4,144,At Risk
12550,2011-09-21 14:35:00,2011-09-21 14:35:00,1,964.83,569,79,0,964.83,3,1,3,313,Need Attention
12551,2010-12-17 11:23:00,2010-12-17 11:23:00,1,168.0,100,358,0,168.0,2,1,1,211,Hibernating
12552,2011-10-31 12:11:00,2011-11-01 10:02:00,2,437.82,88,39,0,218.91,4,2,2,422,Potential Loyalists
12553,2010-10-12 13:35:00,2011-12-01 16:38:00,12,4608.75,2325,8,415,384.06,5,5,5,555,Champions
12554,2010-09-17 12:29:00,2010-09-17 12:29:00,1,468.5,240,449,0,468.5,1,1,2,112,Lost Customers
12555,2010-01-26 16:26:00,2010-01-26 16:26:00,1,129.23,1,682,0,129.23,1,1,1,111,Lost Customers
12556,2011-07-11 13:35:00,2011-10-20 13:06:00,2,599.56,355,50,100,299.78,4,2,2,422,Potential Loyalists
12557,2009-12-17 10:39:00,2011-11-23 16:59:00,8,18716.14,6782,16,706,2339.52,5,4,5,545,Champions
12558,2011-12-02 10:41:00,2011-12-02 10:41:00,1,269.96,196,8,0,269.96,5,1,1,511,New Customers
12559,2011-01-24 10:12:00,2011-02-02 09:49:00,2,561.71,283,311,8,280.86,2,2,2,222,Hibernating
12560,2011-07-19 15:55:00,2011-12-04 13:54:00,3,2134.01,1110,5,137,711.34,5,3,4,534,Potential Loyalists
12561,2011-02-10 11:39:00,2011-02-10 11:39:00,1,238.85,177,303,0,238.85,2,1,1,211,Hibernating
12562,2010-09-30 13:13:00,2011-12-01 17:20:00,9,4966.92,2327,8,427,551.88,5,5,5,555,Champions
12563,2010-10-27 09:52:00,2010-10-27 09:52:00,1,249.24,113,409,0,249.24,2,1,1,211,Hibernating
12564,2011-03-23 14:55:00,2011-03-23 14:55:00,1,456.9,133,261,0,456.9,2,1,2,212,Hibernating
12565,2011-02-24 10:34:00,2011-02-24 10:34:00,1,145.92,80,289,0,145.92,2,1,1,211,Hibernating
12566,2011-09-14 14:30:00,2011-09-14 14:30:00,1,351.65,265,86,0,351.65,3,1,2,312,Need Attention
12567,2010-02-11 10:30:00,2011-11-17 11:02:00,15,13709.86,6086,23,644,913.99,4,5,5,455,Champions
12568,2010-03-05 09:15:00,2010-03-05 09:15:00,1,70.0,48,645,0,70.0,1,1,1,111,Lost Customers
12569,2011-04-01 13:47:00,2011-12-07 16:24:00,32,4124.69,1801,2,250,128.9,5,5,5,555,Champions
12570,2010-01-26 17:28:00,2010-01-26 17:28:00,1,77.52,1,682,0,77.52,1,1,1,111,Lost Customers
12571,2011-08-10 12:35:00,2011-10-31 10:19:00,2,519.61,523,40,81,259.8,4,2,2,422,Potential Loyalists
12572,2011-10-19 08:20:00,2011-12-01 09:20:00,2,1020.42,452,9,43,510.21,5,2,3,523,Potential Loyalists
12573,2010-08-31 17:25:00,2011-04-26 15:52:00,5,717.41,479,227,237,143.48,2,4,3,243,At Risk
12574,2011-01-28 09:20:00,2011-01-28 09:20:00,1,218.45,61,316,0,218.45,2,1,1,211,Hibernating
12575,2010-07-01 09:15:00,2010-09-08 13:09:00,2,622.82,315,457,69,311.41,1,2,3,123,Lost Customers
